bjdongCd,block,bun,crtnDay,ji,jijiguCd,jijiguCdNm,jijiguGbCd,jijiguGbCdNm,jijiguNm,lot,mainDongGbCd,mainDongGbCdNm,mgmPmsrgstPk,platGbCd,platPlc,reprYn,rnum,sigunguCd,splotNm
10400, ,0033,20181220,0001,UQQ310,제1종지구단위계획구역,3,용도구역코드,제1종지구단위계획구역, ,0,전체,11110-100033429,0,서울특별시 종로구 효자동 33-1번지,1,6,11110, 
10400, ,0034,20141016,0001,UQA122,제2종일반주거지역,1,용도지역코드,제2종일반주거지역, ,0,전체,11110-100020925,0,서울특별시 종로구 효자동 34-1번지,1,7,11110, 
10400, ,0034,20141016,0001,UQH110,최고고도지구,2,용도지구코드,최고고도지구, ,0,전체,11110-100020925,0,서울특별시 종로구 효자동 34-1번지,1,8,11110, 
10400, ,0034,20141016,0001,UQQ310,제1종지구단위계획구역,3,용도구역코드,제1종지구단위계획구역, ,0,전체,11110-100020925,0,서울특별시 종로구 효자동 34-1번지,1,9,11110, 
10400, ,0034,20141017,0001,1020, ,1,용도지역코드,일반주거지역, ,0,전체,11110-1502,0,서울특별시 종로구 효자동 34-1번지,1,10,11110, 
10500, ,0017,20150207,0001,1022, ,1,용도지역코드,제2종일반주거지역, ,0,전체,11110-100011564,0,서울특별시 종로구 창성동 17-1번지,1,1,11110, 
10500, ,0017,20150207,0001,102, ,2,용도지구코드,역사문화미관지구, ,0,전체,11110-100011564,0,서울특별시 종로구 창성동 17-1번지,1,2,11110, 
10500, ,0017,20150207,0001,112, ,2,용도지구코드,최고고도지구, ,0,전체,11110-100011564,0,서울특별시 종로구 창성동 17-1번지,0,3,11110, 
10500, ,0017,20170209,0001,0100, ,1,용도지역코드,도시지역, ,0,전체,11110-2866,0,서울특별시 종로구 창성동 17-1번지,1,4,11110, 
10500, ,0017,20170209,0001,1022, ,1,용도지역코드,제2종일반주거지역, ,0,전체,11110-2866,0,서울특별시 종로구 창성동 17-1번지,0,5,11110, 
10500, ,0017,20170209,0001,102, ,2,용도지구코드,역사문화미관지구, ,0,전체,11110-2866,0,서울특별시 종로구 창성동 17-1번지,1,6,11110, 
10500, ,0017,20170209,0001,112, ,2,용도지구코드,최고고도지구, ,0,전체,11110-2866,0,서울특별시 종로구 창성동 17-1번지,0,7,11110, 
10500, ,0017,20180616,0001,UQA001,도시지역,1,용도지역코드,도시지역, ,0,전체,11110-100027781,0,서울특별시 종로구 창성동 17-1번지,1,8,11110, 
10500, ,0017,20180616,0001,UQA122,제2종일반주거지역,1,용도지역코드,제2종일반주거지역, ,0,전체,11110-100027781,0,서울특별시 종로구 창성동 17-1번지,0,9,11110, 
10500, ,0017,20180616,0001,UQA121,제1종일반주거지역,1,용도지역코드,제1종일반주거지역, ,0,전체,11110-100027781,0,서울특별시 종로구 창성동 17-1번지,0,10,11110, 
10600, ,0001,20090326,0001,1021, ,1,용도지역코드,제1종일반주거지역, ,0,전체,11110-100006488,0,서울특별시 종로구 통의동 1-1번지,1,1,11110, 
10600, ,0001,20090326,0001,112, ,2,용도지구코드,최고고도지구, ,0,전체,11110-100006488,0,서울특별시 종로구 통의동 1-1번지,1,2,11110, 
10600, ,0001,20090326,0001,102, ,2,용도지구코드,역사문화미관지구, ,0,전체,11110-100006488,0,서울특별시 종로구 통의동 1-1번지,0,3,11110, 
10600, ,0001,20140322,0007,UQA122,제2종일반주거지역,1,용도지역코드,제2종일반주거지역, , , ,11110-100019465,0,서울특별시 종로구 통의동 1-7번지,0,4,11110, 
10600, ,0001,20140322,0007,UQA001,도시지역,1,용도지역코드,도시지역, ,0,전체,11110-100019465,0,서울특별시 종로구 통의동 1-7번지,1,5,11110, 
10600, ,0001,20140322,0007,UQA121,제1종일반주거지역,1,용도지역코드,제1종일반주거지역, ,0,전체,11110-100019465,0,서울특별시 종로구 통의동 1-7번지,0,6,11110, 
10600, ,0001,20140322,0007,UQG120,역사문화미관지구,2,용도지구코드,역사문화미관지구, ,0,전체,11110-100019465,0,서울특별시 종로구 통의동 1-7번지,1,7,11110, 
10600, ,0001,20140322,0007,UQH110,최고고도지구,2,용도지구코드,최고고도지구, ,0,전체,11110-100019465,0,서울특별시 종로구 통의동 1-7번지,0,8,11110, 
