bjdongCd,block,bun,crtnDay,hjdongCd,ji,jimokCd,jimokCdNm,lot,mainDongGbCd,mainDongGbCdNm,mgmPlatPlcPk,mgmPmsrgstPk,platGbCd,platPlc,relJibunNm,reprYn,rnum,sigunguCd,splotNm,mgmDongOulnPk
10400, ,0004,20090326,520,0004, , , ,1,동별,11110-10822,,0,서울특별시 종로구 효자동 4-4번지,90-4,0,2,11110, ,11110-2909
10400, ,0025,20120925,520,0000,08,대, ,0,전체,11110-100016407,,0,서울특별시 종로구 효자동 25번지, ,1,3,11110, ,11110-100021291
10400, ,0025,20171229,515,0000,08,대, ,0,전체,11110-100029630,,0,서울특별시 종로구 효자동 25번지, ,1,4,11110, ,11110-100042218
10400, ,0033,20170426,515,0001,08,대, ,0,전체,11110-100027768,,0,서울특별시 종로구 효자동 33-1번지, ,1,5,11110, ,11110-100038701
10400, ,0033,20181212,515,0001,08,대, ,0,전체,11110-100028855,,0,서울특별시 종로구 효자동 33-1번지, ,1,6,11110, ,11110-100042902
10400, ,0033,20181220,515,0001,08,대, ,0,전체,11110-100033429,,0,서울특별시 종로구 효자동 33-1번지, ,1,7,11110, ,11110-100046613
10400, ,0034,20100325,520,0001, , , ,0,전체,11110-5299,,0,서울특별시 종로구 효자동 34-1번지, ,1,8,11110, ,11110-5673
10400, ,0034,20141016,515,0001,08,대, ,0,전체,11110-100020925,,0,서울특별시 종로구 효자동 34-1번지, ,1,9,11110, ,11110-100028039
10400, ,0034,20141017,520,0001,08,대, ,0,전체,11110-1502,,0,서울특별시 종로구 효자동 34-1번지, ,1,10,11110, ,11110-1876
10500, ,0000,20100325,520,0000, , , ,0,전체,11110-5939,11110-5565,0,서울특별시 종로구 창성동, ,1,1,11110, ,
10500, ,0017,20100325,520,0001, , , ,0,전체,11110-6363,11110-5989,0,서울특별시 종로구 창성동 17-1번지, ,1,2,11110, ,
10500, ,0017,20150207,520,0001,08,대, ,0,전체,11110-100014160,11110-100011564,0,서울특별시 종로구 창성동 17-1번지, ,1,3,11110, ,
10500, ,0017,20170209,590,0001,08,대, ,0,전체,11110-3240,11110-2866,0,서울특별시 종로구 창성동 17-1번지, ,1,4,11110, ,
10500, ,0017,20180616,515,0001,08,대, ,0,전체,11110-100043916,11110-100027781,0,서울특별시 종로구 창성동 17-1번지, ,1,5,11110, ,
10500, ,0021,20130627,520,0001,08,대, ,0,전체,11110-1171,11110-808,0,서울특별시 종로구 창성동 21-1번지, ,1,6,11110, ,
10500, ,0021,20180505,520,0001,08,대, ,0,전체,11110-100013347,11110-100011953,0,서울특별시 종로구 창성동 21-1번지, ,1,7,11110, ,
10500, ,0021,20090326,520,0007,08,대, ,0,전체,11110-1323,11110-960,0,서울특별시 종로구 창성동 21-7번지, ,1,8,11110, ,
10500, ,0021,20090326,610,0007,08,대, ,0,전체,11110-1903,11110-1529,0,서울특별시 종로구 창성동 21-7번지, ,1,9,11110, ,
