bjdongCd,block,bun,changGbCd,changGbCdNm,crtnDay,flrGbCd,flrGbCdNm,flrNo,hoNm,hoNo,ji,lot,mgmDongOulnPk,mgmHoDetlPk,mgmPmsrgstPk,platGbCd,platPlc,pngtypGbNm,rnum,sigunguCd,splotNm
10500, ,0090, , ,20090326,20,지상,2, ,5,0000, ,11110-319,11110-1242,11110-222,0,서울특별시 종로구 창성동 90번지, ,5,11110, 
10500, ,0090, , ,20090326,20,지상,2, ,6,0000, ,11110-319,11110-1243,11110-222,0,서울특별시 종로구 창성동 90번지, ,6,11110, 
10500, ,0090, , ,20090326,20,지상,3, ,7,0000, ,11110-319,11110-1244,11110-222,0,서울특별시 종로구 창성동 90번지, ,7,11110, 
10500, ,0090, , ,20090326,20,지상,3, ,8,0000, ,11110-319,11110-1245,11110-222,0,서울특별시 종로구 창성동 90번지, ,8,11110, 
10500, ,0090, , ,20090326,20,지상,1, ,1,0000, ,11110-319,11110-1238,11110-222,0,서울특별시 종로구 창성동 90번지, ,9,11110, 
10500, ,0090, , ,20090326,20,지상,1, ,2,0000, ,11110-319,11110-1239,11110-222,0,서울특별시 종로구 창성동 90번지, ,10,11110, 
10600, ,0009, , ,20130413,20,지상,2, ,1,0001, ,11110-2841,11110-17051,11110-2310,0,서울특별시 종로구 통의동 9-1번지, ,1,11110, 
10600, ,0009, , ,20130413,20,지상,2, ,2,0001, ,11110-2841,11110-17052,11110-2310,0,서울특별시 종로구 통의동 9-1번지, ,2,11110, 
10600, ,0009, , ,20130413,20,지상,3, ,3,0001, ,11110-2841,11110-17053,11110-2310,0,서울특별시 종로구 통의동 9-1번지, ,3,11110, 
10600, ,0009, , ,20130413,20,지상,3, ,4,0001, ,11110-2841,11110-17054,11110-2310,0,서울특별시 종로구 통의동 9-1번지, ,4,11110, 
10600, ,0009, , ,20130413,20,지상,4, ,5,0001, ,11110-2841,11110-17055,11110-2310,0,서울특별시 종로구 통의동 9-1번지, ,5,11110, 
10600, ,0009, , ,20130413,20,지상,4, ,6,0001, ,11110-2841,11110-17056,11110-2310,0,서울특별시 종로구 통의동 9-1번지, ,6,11110, 
10600, ,0009, , ,20130413,20,지상,5, ,7,0001, ,11110-2841,11110-17057,11110-2310,0,서울특별시 종로구 통의동 9-1번지, ,7,11110, 
10600, ,0009, , ,20130413,20,지상,5, ,8,0001, ,11110-2841,11110-17058,11110-2310,0,서울특별시 종로구 통의동 9-1번지, ,8,11110, 
10600, ,0028, , ,20140711,20,지상,1, ,1,0002, ,11110-2955,11110-17372,11110-2422,0,서울특별시 종로구 통의동 28-2번지, ,9,11110, 
10600, ,0028, , ,20140711,20,지상,2, ,2,0002, ,11110-2955,11110-17373,11110-2422,0,서울특별시 종로구 통의동 28-2번지, ,10,11110, 
10700, ,0100, , ,20160921,10,지하,2, ,1,0001, ,11110-2853,11110-17064,11110-2322,0,서울특별시 종로구 적선동 100-1번지, ,1,11110, 
10700, ,0100, , ,20160921,10,지하,2, ,2,0001, ,11110-2853,11110-17065,11110-2322,0,서울특별시 종로구 적선동 100-1번지, ,2,11110, 
10700, ,0100, , ,20160921,10,지하,2, ,3,0001, ,11110-2853,11110-17066,11110-2322,0,서울특별시 종로구 적선동 100-1번지, ,3,11110, 
10700, ,0100, , ,20160921,10,지하,1, ,4,0001, ,11110-2853,11110-17067,11110-2322,0,서울특별시 종로구 적선동 100-1번지, ,4,11110, 
10700, ,0100, , ,20160921,10,지하,1, ,5,0001, ,11110-2853,11110-17068,11110-2322,0,서울특별시 종로구 적선동 100-1번지, ,5,11110, 
10700, ,0100, , ,20160921,10,지하,1, ,6,0001, ,11110-2853,11110-17069,11110-2322,0,서울특별시 종로구 적선동 100-1번지, ,6,11110, 
10700, ,0100, , ,20160921,20,지상,1, ,7,0001, ,11110-2853,11110-17070,11110-2322,0,서울특별시 종로구 적선동 100-1번지, ,7,11110, 
10700, ,0100, , ,20160921,20,지상,1, ,8,0001, ,11110-2853,11110-17071,11110-2322,0,서울특별시 종로구 적선동 100-1번지, ,8,11110, 
10700, ,0100, , ,20160921,20,지상,1, ,9,0001, ,11110-2853,11110-17072,11110-2322,0,서울특별시 종로구 적선동 100-1번지, ,9,11110, 
10700, ,0100, , ,20160921,20,지상,2, ,10,0001, ,11110-2853,11110-17073,11110-2322,0,서울특별시 종로구 적선동 100-1번지, ,10,11110, 
