bjdongCd,block,bun,crtnDay,exmptUtcnt,indrAutoArea,indrAutoUtcnt,indrMechArea,indrMechUtcnt,ji,lot,mgmPmsrgstPk,neigAutoArea,neigAutoUtcnt,neigMechArea,neigMechUtcnt,oudrAutoArea,oudrAutoUtcnt,oudrMechArea,oudrMechUtcnt,platGbCd,platPlc,rnum,sigunguCd,splotNm
10400, ,0038,20140723,0,15.43,1,0,0,0000, ,11110-3939,0,0,0,0,81,7,0,0,0,서울특별시 종로구 효자동 38번지,5,11110, 
10400, ,0040,20140328,0,11.5,1,0,0,0001, ,11110-100016561,0,0,0,0,0,0,0,0,0,서울특별시 종로구 효자동 40-1번지,6,11110, 
10400, ,0041,20090326,0,99.54,4,0,0,0000, ,11110-2468,0,0,0,0,0,0,0,0,0,서울특별시 종로구 효자동 41번지,7,11110, 
10400, ,0043,20110119,0,0,0,0,0,0000, ,11110-100011854,0,0,0,0,0,0,0,0,0,서울특별시 종로구 효자동 43번지,8,11110, 
10400, ,0045,20120112,0,0,0,0,0,0000, ,11110-100006115,0,0,0,0,80.5,7,0,0,0,서울특별시 종로구 효자동 45번지,9,11110, 
10400, ,0050,20150730,0,12.58,1,0,0,0003, ,11110-100020723,0,0,0,0,12,1,0,0,0,서울특별시 종로구 효자동 50-3번지,10,11110, 
10500, ,0017,20150207,0,0,0,93.89,12,0001, ,11110-100011564,0,0,0,0,12,1,0,0,0,서울특별시 종로구 창성동 17-1번지,1,11110, 
10500, ,0017,20170209,0,0,0,93.89,12,0001, ,11110-2866,0,0,0,0,12,1,0,0,0,서울특별시 종로구 창성동 17-1번지,2,11110, 
10500, ,0017,20180616,0,0,0,48.67,12,0001, ,11110-100027781,0,0,0,0,12,1,0,0,0,서울특별시 종로구 창성동 17-1번지,3,11110, 
10500, ,0021,20130627,0,0,0,0,0,0001, ,11110-808,0,0,0,0,0,18,0,0,0,서울특별시 종로구 창성동 21-1번지,4,11110, 
10500, ,0021,20090326,0,0,0,0,0,0007, ,11110-960,0,0,0,0,34.5,3,0,0,0,서울특별시 종로구 창성동 21-7번지,5,11110, 
10500, ,0021,20090326,0,0,0,0,0,0007, ,11110-1529,0,0,0,0,23,2,0,0,0,서울특별시 종로구 창성동 21-7번지,6,11110, 
10500,21,0021,20090326,0,0,0,0,0,0010,10,11110-986,0,0,0,0,23,2,0,0,0,서울특별시 종로구 창성동 21-10번지,7,11110,서울특별시 종로구 창성동
10500, ,0021,20130611,0,0,0,0,0,0010, ,11110-100005658,0,0,0,0,23,2,0,0,0,서울특별시 종로구 창성동 21-10번지,8,11110, 
10500, ,0021,20131031,0,0,0,0,0,0019, ,11110-1049,0,0,0,0,0,6,0,0,0,서울특별시 종로구 창성동 21-19번지,9,11110, 
10500, ,0039,20100604,0,158.07,7,0,0,0002, ,11110-447,0,0,0,0,0,0,0,0,0,서울특별시 종로구 창성동 39-2번지,10,11110, 
10600, ,0002,20170413,0,0,0,65.33,8,0001, ,11110-100011855,0,0,0,0,0,0,0,0,0,서울특별시 종로구 통의동 2-1번지,1,11110, 
10600, ,0006,20130413,0,69,6,0,0,0000, ,11110-2298,0,0,0,0,24,2,0,0,0,서울특별시 종로구 통의동 6번지,2,11110, 
10600, ,0007,20120802,0,0,0,0,0,0013, ,11110-100016175,0,0,0,0,12,1,0,0,0,서울특별시 종로구 통의동 7-13번지,3,11110, 
10600, ,0007,20171118,0,0,0,0,0,0013, ,11110-3680,0,0,0,0,12,1,0,0,0,서울특별시 종로구 통의동 7-13번지,4,11110, 
10600, ,0007,20130905,0,0,0,0,0,0031, ,11110-100011793,0,0,0,0,23,2,0,0,0,서울특별시 종로구 통의동 7-31번지,5,11110, 
10600, ,0007,20180802,0,0,4,0,0,0033, ,11110-100027802,0,0,0,0,0,2,0,0,0,서울특별시 종로구 통의동 7-33번지,6,11110, 
10600, ,0007,20161001,0,38.12,2,0,0,0037, ,11110-3598,0,0,0,0,0,0,0,0,0,서울특별시 종로구 통의동 7-37번지,7,11110, 
10600, ,0009,20130413,0,145.47,8,0,0,0001, ,11110-2310,0,0,0,0,0,0,0,0,0,서울특별시 종로구 통의동 9-1번지,8,11110, 
10600, ,0015,20160119,0,0,0,0,0,0000, ,11110-100022393,0,0,0,0,12.49,1,0,0,0,서울특별시 종로구 통의동 15번지,9,11110, 
10600, ,0019,20181020,0,0,0,0,0,0001, ,11110-100028673,0,0,0,0,0,0,0,0,0,서울특별시 종로구 통의동 19-1번지,10,11110, 
10700, ,0001,20090326,0,0,0,0,0,0000, ,11110-2442,0,0,0,0,77.47,6,0,0,0,서울특별시 종로구 적선동 1번지,1,11110, 
10700, ,0019,20160610,0,0,0,0,0,0000, ,11110-100021517,0,0,0,0,556.16,4,0,0,0,서울특별시 종로구 적선동 19번지,2,11110, 
10700, ,0066,20140902,0,0,148,0,0,0000, ,11110-100020184,0,0,0,0,0,28,0,0,0,서울특별시 종로구 적선동 66번지,3,11110, 
10700, ,0066,20151208,0,0,148,0,0,0000, ,11110-100023582,0,0,0,0,0,28,0,0,0,서울특별시 종로구 적선동 66번지,4,11110, 
10700, ,0066,20170921,0,0,148,0,0,0000, ,11110-100028980,0,0,0,0,0,28,0,0,0,서울특별시 종로구 적선동 66번지,5,11110, 
10700, ,0094,20090326,0,0,0,0,0,0000, ,11110-2424,0,0,0,0,153.8,8,0,0,0,서울특별시 종로구 적선동 94번지,6,11110, 
10700, ,0100,20160921,0,0,0,198.47,23,0001, ,11110-2322,0,0,0,0,0,0,0,0,0,서울특별시 종로구 적선동 100-1번지,7,11110, 
10700, ,0107,20090326,0,25.5,2,0,0,0001, ,11110-2472,0,0,0,0,12,1,0,0,0,서울특별시 종로구 적선동 107-1번지,8,11110, 
10700, ,0156,20090326,0,5433.45,113,0,0,0000, ,11110-406,0,0,0,0,0,0,0,0,0,서울특별시 종로구 적선동 156번지,9,11110, 
10700, ,0156,20160506,0,0,113,0,0,0000, ,11110-100006260,0,0,0,0,0,0,0,0,0,서울특별시 종로구 적선동 156번지,10,11110, 
