archGbCd,archGbCdNm,bjdongCd,bldNm,block,bun,crtnDay,flrArea,flrGbCd,flrGbCdNm,flrNo,ji,lot,mainPurpsCd,mainPurpsCdNm,mgmDongOulnPk,mgmFlrOulnPk,mgmPmsrgstPk,platGbCd,platPlc,rnum,sigunguCd,splotNm,strctCd,strctCdNm
0100,신축,10300,궁정동3-6번지근생, ,0003,20090326,46.71,20,지상,3,0006, ,04001,일반음식점,11110-3527,11110-16098,11110-2937,0,서울특별시 종로구 궁정동 3-6번지,7,11110, ,21,철근콘크리트구조
0100,신축,10300,궁정동 3-6 제2종근린생활시설 (이봉주), ,0003,20160824,300.2,20,지상,3,0006, ,01001,단독주택,11110-100024741,11110-100048119,11110-100025156,0,서울특별시 종로구 궁정동 3-6번지,8,11110, ,21,철근콘크리트구조
0100,신축,10300,궁정동 3-6 제2종근린생활시설 (이봉주), ,0003,20160824,342.98,20,지상,2,0006, ,04402,사무소,11110-100024741,11110-100048120,11110-100025156,0,서울특별시 종로구 궁정동 3-6번지,9,11110, ,21,철근콘크리트구조
0100,신축,10300,궁정동 3-6 제2종근린생활시설 (이봉주), ,0003,20160824,323.38,20,지상,1,0006, ,03001,소매점,11110-100024741,11110-100048121,11110-100025156,0,서울특별시 종로구 궁정동 3-6번지,10,11110, ,21,철근콘크리트구조
0700,용도변경,10400, , ,0025,20120925,8.33,20,지상,1,0000, ,04001,일반음식점,11110-100015032,11110-100029206,11110-100016407,0,서울특별시 종로구 효자동 25번지,1,11110, ,51,일반목구조
0700,용도변경,10400, , ,0025,20120925,61.29,20,지상,1,0000, ,04001,일반음식점,11110-100015032,11110-100029207,11110-100016407,0,서울특별시 종로구 효자동 25번지,2,11110, ,51,일반목구조
0700,용도변경,10400,효자동 25 제1종근린생활시설, ,0025,20171229,51.46,20,지상,1,0000, ,03002,휴게음식점,11110-100029749,11110-100058507,11110-100029630,0,서울특별시 종로구 효자동 25번지,3,11110, ,21,철근콘크리트구조
0100,신축,10400,효자동 33-1 (박봉용), ,0033,20181212,72.69,20,지상,1,0001, ,01001,단독주택,11110-100028950,11110-100056718,11110-100028855,0,서울특별시 종로구 효자동 33-1번지,4,11110, ,51,일반목구조
0100,신축,10400,효자동 33-1 (박봉용), ,0033,20181220,72.19,20,지상,1,0001, ,01001,단독주택,11110-100034753,11110-100065924,11110-100033429,0,서울특별시 종로구 효자동 33-1번지,5,11110, ,51,일반목구조
0200,증축,10400, , ,0034,20141016,27.7,20,지상,5,0001, ,01003,다가구주택,11110-100020176,11110-100039187,11110-100020925,0,서울특별시 종로구 효자동 34-1번지,6,11110, ,51,일반목구조
0200,증축,10400, , ,0034,20141016,15.66,20,지상,4,0001, ,04499,기타사무소,11110-100020176,11110-100039188,11110-100020925,0,서울특별시 종로구 효자동 34-1번지,7,11110, ,32,경량철골구조
0100,신축,10400,효자동 다가구주택, ,0034,20141017,51.26,20,지상,1,0001, ,01003,다가구주택,11110-1958,11110-9132,11110-1502,0,서울특별시 종로구 효자동 34-1번지,8,11110, ,21,철근콘크리트구조
0100,신축,10400,효자동 다가구주택, ,0034,20141017,80.4,20,지상,2,0001, ,01003,다가구주택,11110-1958,11110-9133,11110-1502,0,서울특별시 종로구 효자동 34-1번지,9,11110, ,21,철근콘크리트구조
0100,신축,10400,효자동 다가구주택, ,0034,20141017,80.4,20,지상,3,0001, ,01003,다가구주택,11110-1958,11110-9134,11110-1502,0,서울특별시 종로구 효자동 34-1번지,10,11110, ,21,철근콘크리트구조
0200,증축,10500,유니세프한국위원회 사옥, ,0017,20150207,267.87,10,지하,2,0001, ,14299,기타일반업무시설,11110-100010229,11110-100018174,11110-100011564,0,서울특별시 종로구 창성동 17-1번지,1,11110, ,21,철근콘크리트구조
0200,증축,10500,유니세프한국위원회 사옥, ,0017,20150207,191.74,20,지상,3,0001, ,14299,기타일반업무시설,11110-100010229,11110-100018175,11110-100011564,0,서울특별시 종로구 창성동 17-1번지,2,11110, ,21,철근콘크리트구조
0200,증축,10500,유니세프한국위원회 사옥, ,0017,20150207,252.76,20,지상,2,0001, ,14299,기타일반업무시설,11110-100010229,11110-100018176,11110-100011564,0,서울특별시 종로구 창성동 17-1번지,3,11110, ,21,철근콘크리트구조
0200,증축,10500,유니세프한국위원회 사옥, ,0017,20150207,265.25,10,지하,1,0001, ,14299,기타일반업무시설,11110-100010229,11110-100018177,11110-100011564,0,서울특별시 종로구 창성동 17-1번지,4,11110, ,21,철근콘크리트구조
